Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28007903,"American Heiress: The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst",Jeffrey Toobin,"Toobin, Jeffrey",,"=""0385536712""","=""9780385536714""",5,3.88,Doubleday,Hardcover,368,2016,2016,2017/04/17,2017/04/17,"non-fiction, american-history","non-fiction (#43), american-history (#6)",read,,,,1,,,0,,,,,
7748,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,"Thompson, Hunter S.",,"=""0446698229""","=""9780446698221""",5,4.12,Warner Books (NY),Paperback,481,2006,1973,2013/08/01,2012/10/16,"non-fiction, american-history","non-fiction (#21), american-history (#1)",read,,,,1,,,1,,,unspecified,,
75815,A Well-Paid Slave: Curt Flood's Fight for Free Agency in Professional Sports,Brad   Snyder,"Snyder, Brad",,"=""067003794X""","=""9780670037940""",5,4.12,Viking Adult,Hardcover,352,2006,2006,2016/09/04,2016/08/16,"non-fiction, sports, american-history","non-fiction (#40), sports (#9), american-history (#5)",read,,,,1,,,0,,,,,
96123,All the President's Men,Carl Bernstein,"Bernstein, Carl",Bob Woodward,"=""1416522913""","=""9781416522911""",4,4.18,Pocket Books,Paperback,480,2005,1974,,2013/08/26,"non-fiction, american-history","non-fiction (#24), american-history (#2)",read,,,,1,,,1,,,unspecified,,
280412,The Run of His Life : The People v. O.J. Simpson,Jeffrey Toobin,"Toobin, Jeffrey",,"=""0684842785""","=""9780684842783""",5,4.22,Touchstone Books,Paperback,496,1997,1996,2016/04/12,2016/04/08,"non-fiction, los-angeles, american-history","non-fiction (#39), los-angeles (#3), american-history (#4)",read,,,,1,,,0,,,,,
41161346,"LeBron, Inc.: The Making of a Billion-Dollar Athlete",Brian Windhorst,"Windhorst, Brian",,"=""1538730871""","=""9781538730874""",4,3.82,Grand Central Publishing,Hardcover,256,2019,,,2019/04/15,"non-fiction, sports, basketball","non-fiction (#3), sports (#15), basketball (#6)",read,,,,1,,,0,,,,,
50929727,The Hot Hand: The Mystery and Science of Streaks,Ben  Cohen,"Cohen, Ben",,"=""""","=""""",4,3.86,Custom House,Kindle Edition,304,2020,2020,2020/04/08,2020/03/10,"non-fiction, sports, basketball","non-fiction (#17), sports (#22), basketball (#7)",read,,,,1,,,0,,,,,
75639,A Season on the Brink: A Year with Bob Knight and the Indiana Hoosiers,John Feinstein,"Feinstein, John",,"=""0671688774""","=""9780671688776""",5,4.12,Simon & Schuster,Paperback,337,1989,1986,2017/03/15,2013/08/26,"non-fiction, sports, basketball","non-fiction (#25), sports (#4), basketball (#3)",read,,,,1,,,1,,,unspecified,,
75406,The Breaks of the Game,David Halberstam,"Halberstam, David",,"=""0345296257""","=""9780345296252""",5,4.18,Ballantine Books,Mass Market Paperback,467,1983,1981,2013/08/31,2013/08/26,"non-fiction, sports, basketball","non-fiction (#22), sports (#2), basketball (#2)",read,,,,1,,,1,,,unspecified,,
36675,Seven Seconds or Less: My Season on the Bench with the Runnin' and Gunnin' Phoenix Suns,Jack McCallum,"McCallum, Jack",,"=""074329811X""","=""9780743298117""",5,4.01,Touchstone Books,Hardcover,315,2006,2006,2014/06/02,2012/07/19,"non-fiction, sports, basketball","non-fiction (#20), sports (#1), basketball (#1)",read,,,,1,,,1,,,unspecified,,
